symbol,company_name,region,company_category,start_date,end_date,start_price,end_price,total_return
0700.HK,Tencent Holdings,China,Social Media/Gaming,2015-01-02,2024-11-19,99.0345458984375,402.6848449707031,3.0661048255188335
3690.HK,Meituan,China,Local Services,2018-09-20,2024-11-19,72.6500015258789,171.89999389648438,1.366138889002656
AAPL,Apple Inc.,US,Hardware/Semiconductors,2015-01-02,2024-11-19,24.237548828125,227.252197265625,8.37603876023651
BABA,Alibaba Group,China,E-commerce,2015-01-02,2024-11-19,98.388397216796875,85.66214752197266,-0.12934705773062022
BIDU,Baidu Inc.,China,Search/Advertising,2015-01-02,2024-11-19,223.0800018310547,86.0199966430664,-0.6143984403038871
GOOGL,Alphabet Inc. (Google),US,Search/Advertising,2015-01-02,2024-11-19,26.29613494873047,177.3379364013672,5.743878396848916
JD,JD.com Inc.,China,E-commerce,2015-01-02,2024-11-19,21.79586410522461,34.18226623535156,0.568291400163293
MSFT,Microsoft Corporation,US,Hardware/Semiconductors,2015-01-02,2024-11-19,39.93304443359375,414.67681884765625,9.384302642821007
NVDA,NVIDIA Corporation,US,Hardware/Semiconductors,2015-01-02,2024-11-19,0.4830382466316223,146.9678497314453,303.2571696057163
TSLA,Tesla Inc.,US,Automotive/Energy,2015-01-02,2024-11-19,14.620667457580566,346,22.66513026876929
